Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	18:35 3/3/2020	-1867819596
Tom	18:35 3/3/2020	-2097208442
Mike	18:41 3/3/2020	33279117
Mike	18:53 3/3/2020	-1268511978
Jim	18:53 3/3/2020	1811447640
Mike	19:16 3/3/2020	116
Mike	19:18 3/3/2020	174
Mike	19:19 3/3/2020	119
Mike	19:19 3/3/2020	113
Mike	19:19 3/3/2020	102
Mike	19:20 3/3/2020	113
Mike	19:22 3/3/2020	156
Mike	19:23 3/3/2020	123
Jim	19:26 3/3/2020	145
Mike	19:26 3/3/2020	121
Tom	19:26 3/3/2020	156
Jim	19:27 3/3/2020	131
Mike	19:27 3/3/2020	84
